kommun;year;status
0114;2020;shortage
0115;2020;shortage
0117;2020;shortage
0120;2020;shortage
0123;2020;shortage
0125;2020;shortage
0126;2020;shortage
0127;2020;shortage
0128;2020;shortage
0136;2020;shortage
0138;2020;shortage
0139;2020;shortage
0140;2020;shortage
0160;2020;shortage
0162;2020;shortage
0163;2020;shortage
0180;2020;shortage
0181;2020;shortage
0182;2020;shortage
0183;2020;shortage
0184;2020;shortage
0186;2020;shortage
0187;2020;shortage
0188;2020;shortage
0191;2020;shortage
0192;2020;shortage
0305;2020;shortage
0319;2020;shortage
0330;2020;shortage
0331;2020;shortage
0360;2020;shortage
0380;2020;shortage
0381;2020;shortage
0382;2020;shortage
0428;2020;shortage
0461;2020;shortage
0480;2020;shortage
0481;2020;shortage
0482;2020;shortage
0483;2020;shortage
0484;2020;shortage
0486;2020;shortage
0488;2020;shortage
0509;2020;shortage
0512;2020;shortage
0513;2020;shortage
0560;2020;shortage
0561;2020;shortage
0562;2020;shortage
0563;2020;shortage
0580;2020;shortage
0581;2020;shortage
0582;2020;shortage
0583;2020;shortage
0584;2020;shortage
0586;2020;shortage
0604;2020;shortage
0617;2020;shortage
0642;2020;shortage
0643;2020;shortage
0662;2020;shortage
0665;2020;balance
0680;2020;shortage
0682;2020;shortage
0683;2020;shortage
0684;2020;balance
0685;2020;shortage
0686;2020;shortage
0687;2020;shortage
0760;2020;shortage
0761;2020;shortage
0763;2020;shortage
0764;2020;shortage
0765;2020;shortage
0767;2020;balance
0780;2020;shortage
0781;2020;shortage
0821;2020;balance
0834;2020;shortage
0840;2020;shortage
0860;2020;shortage
0861;2020;balance
0862;2020;shortage
0880;2020;shortage
0881;2020;balance
0882;2020;balance
0883;2020;balance
0884;2020;shortage
0885;2020;shortage
0980;2020;shortage
1060;2020;balance
1080;2020;shortage
1081;2020;shortage
1082;2020;shortage
1083;2020;shortage
1214;2020;shortage
1230;2020;shortage
1231;2020;shortage
1233;2020;shortage
1256;2020;balance
1260;2020;shortage
1261;2020;shortage
1262;2020;shortage
1263;2020;shortage
1264;2020;shortage
1265;2020;shortage
1266;2020;balance
1267;2020;shortage
1270;2020;shortage
1273;2020;balance
1275;2020;shortage
1276;2020;balance
1277;2020;shortage
1278;2020;shortage
1280;2020;shortage
1281;2020;shortage
1282;2020;balance
1283;2020;shortage
1284;2020;shortage
1285;2020;shortage
1286;2020;shortage
1287;2020;shortage
1290;2020;shortage
1291;2020;shortage
1292;2020;shortage
1293;2020;balance
1315;2020;balance
1380;2020;shortage
1381;2020;shortage
1382;2020;shortage
1383;2020;shortage
1384;2020;shortage
1401;2020;shortage
1402;2020;shortage
1407;2020;shortage
1415;2020;shortage
1419;2020;shortage
1421;2020;shortage
1427;2020;shortage
1430;2020;shortage
1435;2020;shortage
1438;2020;shortage
1439;2020;shortage
1440;2020;shortage
1441;2020;shortage
1442;2020;shortage
1443;2020;balance
1444;2020;shortage
1445;2020;shortage
1446;2020;shortage
1452;2020;shortage
1460;2020;shortage
1461;2020;balance
1462;2020;shortage
1463;2020;balance
1465;2020;balance
1466;2020;balance
