kommun;period;key;count;per100k
0114;1996;burglary;562;1546.0
0114;1996;drugs_weapons;55;152.0
0114;1996;person;727;2000.0
0114;1996;theft;2827;7778.0
0114;1996;total;5016;13801.0
0114;1996;vandalism;1024;2817.0
0114;1997;burglary;691;1899.0
0114;1997;drugs_weapons;64;176.0
0114;1997;person;694;1907.0
0114;1997;theft;3368;9254.0
0114;1997;total;5599;15385.0
0114;1997;vandalism;1067;2932.0
0114;1998;burglary;550;1504.0
0114;1998;drugs_weapons;161;440.0
0114;1998;person;698;1908.0
0114;1998;theft;2716;7425.0
0114;1998;total;4892;13373.0
0114;1998;vandalism;995;2720.0
0114;1999;burglary;549;1486.0
0114;1999;drugs_weapons;198;536.0
0114;1999;person;776;2100.0
0114;1999;theft;3104;8400.0
0114;1999;total;5282;14294.0
0114;1999;vandalism;827;2238.0
0114;2000;burglary;472;1264.0
0114;2000;drugs_weapons;73;195.0
0114;2000;person;748;2003.0
0114;2000;theft;2832;7583.0
0114;2000;total;5200;13924.0
0114;2000;vandalism;745;1995.0
0114;2001;burglary;481;1281.0
0114;2001;drugs_weapons;162;431.0
0114;2001;person;719;1915.0
0114;2001;theft;2806;7473.0
0114;2001;total;5183;13803.0
0114;2001;vandalism;705;1877.0
0114;2002;burglary;441;1177.0
0114;2002;drugs_weapons;179;478.0
0114;2002;person;853;2276.0
0114;2002;theft;2810;7497.0
0114;2002;total;5543;14788.0
0114;2002;vandalism;855;2281.0
0114;2003;burglary;430;1149.0
0114;2003;drugs_weapons;146;390.0
0114;2003;person;931;2488.0
0114;2003;theft;2962;7915.0
0114;2003;total;5825;15566.0
0114;2003;vandalism;956;2555.0
0114;2004;burglary;480;1281.0
0114;2004;drugs_weapons;193;515.0
0114;2004;person;896;2392.0
0114;2004;theft;2626;7011.0
0114;2004;total;5548;14812.0
0114;2004;vandalism;1110;2963.0
0114;2005;burglary;487;1296.0
0114;2005;drugs_weapons;234;623.0
0114;2005;person;811;2159.0
0114;2005;theft;2657;7072.0
0114;2005;total;5673;15100.0
0114;2005;vandalism;1221;3250.0
0114;2006;burglary;282;747.0
0114;2006;drugs_weapons;285;756.0
0114;2006;person;1015;2690.0
0114;2006;theft;2263;5997.0
0114;2006;total;5931;15717.0
0114;2006;vandalism;1333;3532.0
0114;2007;burglary;245;646.0
0114;2007;drugs_weapons;199;524.0
0114;2007;person;1263;3328.0
0114;2007;theft;2175;5731.0
0114;2007;total;6122;16131.0
