lan;year;sold;value_sek
01;2010;230;2095187708
01;2011;179;756622917
01;2012;152;261581279
01;2013;200;357079843
01;2014;190;365511185
01;2015;121;294403000
01;2016;115;256678550
01;2017;105;281593000
01;2018;106;263866430
01;2019;119;283445000
01;2020;137;417607000
01;2021;120;334334000
01;2022;117;310306500
01;2023;156;376854000
01;2024;170;411459000
01;2025;190;561607667
03;2010;24;19033000
03;2011;23;61037000
03;2012;28;13575000
03;2013;42;42079000
03;2014;31;49805330
03;2015;38;34968000
03;2016;22;29570000
03;2017;26;27270000
03;2018;26;33308000
03;2019;23;28258000
03;2020;25;31121000
03;2021;30;78185000
03;2022;30;57210000
03;2023;33;59087000
03;2024;45;66579755
03;2025;40;46696000
04;2010;41;25905159
04;2011;32;192444183
04;2012;18;9868240
04;2013;38;26717000
04;2014;27;40556294
04;2015;21;31535000
04;2016;21;16244217
04;2017;21;18921000
04;2018;31;28621000
04;2019;28;23853000
04;2020;24;28713000
04;2021;21;27617000
04;2022;28;32077000
04;2023;14;12850000
04;2024;25;30442534
04;2025;24;26615000
05;2010;34;19208501
05;2011;22;44690000
05;2012;16;10352000
05;2013;35;22386250
05;2014;32;30357000
05;2015;21;15421000
05;2016;16;9066000
05;2017;14;14441000
05;2018;24;55367000
05;2019;27;24791000
05;2020;20;22695000
05;2021;34;30755000
05;2022;17;18846000
05;2023;24;33890000
05;2024;22;30226000
05;2025;22;26515000
06;2010;27;19379861
06;2011;27;34593104
06;2012;20;11681000
06;2013;34;19048000
06;2014;22;12153000
06;2015;24;8834000
06;2016;20;23109000
06;2017;11;14255739
06;2018;28;21884000
06;2019;33;25129000
06;2020;32;58471850
06;2021;21;17295000
06;2022;23;29435000
06;2023;16;27840000
06;2024;18;15431000
06;2025;24;18529977
07;2010;22;21400000
07;2011;34;367079000
07;2012;17;12132000
07;2013;13;3095000
07;2014;31;20180000
07;2015;27;38367363
07;2016;21;27199200
07;2017;19;12324000
07;2018;17;10018471
07;2019;20;9136000
07;2020;16;20812000
07;2021;17;19242000
07;2022;14;8824000
07;2023;19;9450000
07;2024;14;29365000
07;2025;17;10535000
08;2010;32;16503000
08;2011;47;95314688
08;2012;22;8711081
08;2013;36;17659847
08;2014;45;24311536
08;2015;26;14919000
08;2016;40;35431000
08;2017;24;13734500
08;2018;19;63670000
08;2019;60;32847000
08;2020;31;26139000
08;2021;49;48122000
08;2022;26;11460773
08;2023;36;17619000
08;2024;25;23789000
08;2025;34;27990000
09;2010;10;5660000
09;2011;4;1645000
09;2012;9;21905000
09;2013;4;4656000
09;2014;7;8060000
09;2016;6;6635000
09;2017;5;4542500
09;2018;7;61260000
09;2019;3;2040000
09;2020;7;10900000
09;2021;2;4650000
09;2022;5;6942000
09;2023;3;7395000
09;2024;4;6050000
09;2025;6;6367500
10;2010;16;12204000
10;2011;18;20623000
10;2012;14;4902000
10;2013;18;7308500
10;2014;30;33944500
10;2015;21;6040000
10;2016;25;19310000
10;2017;12;6522000
10;2018;8;6855000
10;2019;12;10205000
10;2020;12;24812000
10;2021;14;12290000
10;2022;12;9695000
10;2023;13;14565000
10;2024;18;20530000
10;2025;20;23910000
12;2010;275;459830771
12;2011;210;651554565
12;2012;201;140897500
12;2013;219;303147338
