id;name;label_short;type;status;open_year;open_window;budget_msek;price_base;agency;kommuner;stations;source_url;source_doc;notes
blekinge-kustbana-motesspar;Blekinge kustbana, mötesspår och hastighetshöjning;Blekinge kustbana;rail;decided;2027;;143;2025-02;Trafikverket;Bromölla|Sölvesborg|Ronneby|Karlskrona;;https://www.trafikverket.se/vara-projekt/projekt-i-blekinge-lan/blekinge-kustbana-strackan-kristianstad-karlskrona/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Byggstart autumn 2026, complete December 2027. New passing siding at Bredåkra plus switch and track work along the 129 km Kristianstad–Karlskrona line.
e10-morjarv-svartbyn;E10, Morjärv–Västra Svartbyn, mötesfri väg (etapp 1);E10 Morjärv–Svartbyn;road;construction;2029;;963;2025-02;Trafikverket;Kalix|Överkalix;;https://www.trafikverket.se/vara-projekt/projekt-i-norrbottens-lan/e10-morjarvvastra-svartbyn-motesfri-vag/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;~23.5 km in total. Only the Grannäs–Västra Svartbyn section has a schedule: byggstart autumn 2026, complete 2029. Morjärv–Grannäs has no timeline.
e16-borlange-djuras;E16/väg 70, Borlänge–Djurås, mötesfri väg;E16 Borlänge–Djurås;road;construction;;;1029;2025-02;Trafikverket;Borlänge|Gagnef;;https://www.trafikverket.se/vara-projekt/projekt-i-dalarnas-lan/e16vag-70-borlangedjuras-motesfri-vag/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Three phases. Etapp 1 finished autumn 2023; etapp 2 paused and under cost review with completion expected autumn 2026; etapp 3 byggstart spring 2027. No whole-project completion year is published. Gagnef is derived from Djurås, not named on the page."
e20-forbi-mariestad;E20 förbi Mariestad;E20 f. Mariestad;road;construction;2029;;2252;2025-02;Trafikverket;Mariestad;;https://www.trafikverket.se/vara-projekt/projekt-i-vastra-gotalands-lan/e20-motesfri-vag-vastra-gotaland/e20-forbi-mariestad/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Two phases: Hindsberg–Muggebo 2024–2027 and Muggebo–Tjos 2025–2029. The project page states 1 400 MSEK in 2013 price level; 2 252 MSEK is the plan's 2025-02 total."
e20-gotene-mariestad;E20 Götene–Mariestad;E20 Götene–Mariestad;road;construction;2028;;1607;2025-02;Trafikverket;Götene|Mariestad;;https://www.trafikverket.se/vara-projekt/projekt-i-vastra-gotalands-lan/e20-motesfri-vag-vastra-gotaland/e20-gotene-mariestad/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"20 km to 2+2 motorway; byggstart 2025, complete autumn 2028. The project page states 1 150 MSEK in 2013 price level — nearly 13 years stale; 1 607 MSEK is the plan's 2025-02 total."
e22-bjorketorp-nattraby;E22 Björketorp (Ronneby Ö)–Nättraby;E22 Björketorp–Nättraby;road;decided;;;1473;2025-02;Trafikverket;Ronneby|Karlskrona;;https://www.regeringen.se/pressmeddelanden/2026/04/regeringen-ger-gront-ljus-till-flera-storre-infrastrukturprojekt/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart clearance 24 April 2026; motorway conversion. The government release states no years or costs. A Trafikverket project page exists but was not fetched, so the release is the cited source."
e22-forbi-soderkoping;E22, förbifart Söderköping;E22 Söderköping;road;construction;2030;;2239;2025-02;Trafikverket;Söderköping;;https://www.trafikverket.se/vara-projekt/projekt-i-ostergotlands-lan/E22-forbifart-soderkoping/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Byggstart autumn 2026, opening summer 2030. All level crossings grade-separated.
e4-e20-hallunda-varby;E4/E20 Hallunda–Vårby, delen Fittja–Vårby, kapacitetsförstärkning;E4/E20 Fittja–Vårby;road;decided;;;1332;2025-02;Trafikverket;Botkyrka|Huddinge;;https://www.regeringen.se/pressmeddelanden/2026/04/regeringen-ger-gront-ljus-till-flera-storre-infrastrukturprojekt/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart clearance 24 April 2026; widening to 4+4 lanes as a consequence of Förbifart Stockholm. The adjoining Hallunda–Fittja section (1 004 MSEK, plan phase 'Förberedelse för byggstart') is planned for construction 2031–2034 per its own project page, which was last updated 2023-03-20."
e4-forbifart-skelleftea;E4, förbifart Skellefteå;E4 f. Skellefteå;road;study;;;2439;2025-02;Trafikverket;Skellefteå;;https://www.trafikverket.se/vara-projekt/projekt-i-vasterbottens-lan/e4-forbifart-skelleftea/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Corridor 'Östra leden' chosen May 2025; road plan expected 2030, byggstart preliminarily 2031. The plan allocates 0 kr inside 2026–2037, so the 2 439 MSEK sits beyond the plan period."
e4-forbifart-stockholm;E4 Förbifart Stockholm;Förbifart Sthlm;road;construction;2030;;58076;2025-02;Trafikverket;Stockholm|Huddinge|Sollentuna|Ekerö;;https://www.trafikverket.se/vara-projekt/projekt-i-stockholms-lan/e4-forbifart-stockholm/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"21 km, over 18 km in tunnel, Kungens kurva–Häggvik. Häggvik–Hjulsta opens 2026, full completion 2030. The project page states 51,0–53,5 miljarder with 51,5 likely in 2021 price level; 58 076 MSEK is the plan's total object cost in 2025-02. The page names five kommuner but does not list them — the four given are derived from place names on the page."
e4-kongberget-gnarp;E4, Kongberget–Gnarp, mötesfri väg;E4 Kongberget–Gnarp;road;decided;;;2741;2025-02;Trafikverket;Nordanstig;;https://www.trafikverket.se/vara-projekt/projekt-i-gavleborgs-lan/e4-kongbergetgnarp-motesfri-vag-i-nordanstigs-kommun/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart clearance from the government 24 April 2026; project page gives byggstart preliminarily 2029 and no completion year. ~22 km, 2+1, 110 km/h."
e45-jarnvagen-overdackning;Järnvågen med överdäckning av E45;E45 Järnvågen;road;construction;2026;;326;2025-02;Trafikverket;Göteborg;;https://www.trafikverket.se/vara-projekt/projekt-i-vastra-gotalands-lan/e45-jarnvagen/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;Byggstart summer 2024, complete 2026. Plan footnote (3): 0 kr from the planning frame, presupposes full funding from other parties.
e45-vattnas-trunna;E45, Vattnäs–Trunna;E45 Vattnäs–Trunna;road;decided;2030;;621;2025-02;Trafikverket;Orsa;;https://www.trafikverket.se/vara-projekt/projekt-i-dalarnas-lan/e45-vattnas-trunna-ny-vagstrackning/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Road plan established 2025; byggstart earliest 2027, complete 2030. Rebuild to 2+1 with median barrier."
e65-svedala-borringe;E65 Svedala–Börringe;E65 Svedala–Börringe;road;decided;;;701;2025-02;Trafikverket;Svedala;;https://www.trafikverket.se/vara-projekt/projekt-i-skane-lan/e65-svedalaborringe-motorvagsutbyggnad/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Road plan legally binding, government byggstart decision taken; byggstart planned 2027, no completion year published. ~5.4 km."
goteborg-alingsas-hogre-kapacitet;Västra stambanan, Göteborg–Alingsås, högre kapacitet hela sträckan;Göteborg–Alingsås;rail;study;;;26447;2025-02;Trafikverket;Göteborg|Alingsås;;https://bransch.trafikverket.se/for-dig-i-branschen/Planera-och-utreda/langsiktig-planering-av-infrastruktur/nationell-plan/nationell-plan-2026-2037/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Plan object JVA2201, phase 'Planering', 4 215 MSEK of 26 447 inside 2026–2037. No dedicated project page exists yet; the separate page 'Västra stambanan, Göteborg–Alingsås' covers a 2025–2027 renewal programme (Lerum station to four tracks, power supply, tunnels), not this investment."
goteborg-boras;Ny järnväg Göteborg–Borås och bibana Mölnlycke;Göteborg–Borås;rail;decided;;;59161;2025-02;Trafikverket;Göteborg|Mölndal|Härryda|Bollebygd|Borås;Mölndal|Göteborg Landvetter flygplats|Borås|Mölnlycke;https://www.trafikverket.se/vara-projekt/projekt-i-vastra-gotalands-lan/Goteborg-Boras/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Government approval 11 June 2026; byggstart 2029–2031 and about ten years' construction, but no opening year is published, so open_year is blank. Page states ~59 bn in 2025 price level, which matches the plan. Future stations at Bollebygd and Landvetter södra are mentioned but not funded."
goteborg-sparvag-brunnsbo-linne;Göteborg, spårväg och citybuss Brunnsbo–Linné via Lindholmen;Brunnsbo–Linné;tram;decided;2039;;7233;2025-02;Göteborgs Stad;Göteborg;Lindholmen|Stigberget|Linnéplatsen;https://www.goteborg.se/wps/portal?uri=gbglnk%3A2023914113145854;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"2039 is the opening of the Lindholmsförbindelsen tunnel (byggstart 2031, preparatory works 2027); the city's own figure for that tunnel alone is 4 240 MSEK in 2014 price level. The 7 233 MSEK is plan object SVF1806 for the wider Brunnsbo–Linné programme. The Frihamnen–Lindholmen tram section opened December 2025."
hallsberg-degeron-dubbelspar;Godsstråket genom Bergslagen, dubbelspår Hallsberg–Degerön;Hallsberg–Degerön;rail;construction;2031;;10900;2025;Trafikverket;Hallsberg;;https://www.trafikverket.se/vara-projekt/projekt-som-stracker-sig-over-flera-lan/hallsberg-degeron/;;"Five of six sub-stretches finished; the last, Hallsberg–Stenkumla, runs 2023–2031. Page states 10,9 miljarder in 2025 års prisnivå (month not given, hence price_base '2025'). The adopted plan carries a narrower object 'Godsstråket Hallsberg–Åsbro, dubbelspår' at 6 191 MSEK in 2025-02. Only Hallsberg kommun is named on the page."
hassleholm-lund-tva-nya-spar;Hässleholm–Lund, två nya spår;Hässleholm–Lund;rail;study;;;32308;2025-02;Trafikverket;Hässleholm|Lund;Hässleholm|Stångby|Klostergården;https://www.trafikverket.se/vara-projekt/projekt-i-skane-lan/hassleholm-lund-tva-nya-spar/;https://bransch.trafikverket.se/contentassets/2fca968f05c545d59749ce9d442e117a/bilaga1_nationell_plan_for_transportinfrastrukturen_2026-2037-webb.xlsx;"Byggstart from 2034; the page states traffic start is 'svårbedömd' because alignment, staging and method are undecided, so open_year is blank. The page's own figure is 28 miljarder in 2021 price level. A sub-project 'Lund, fyra spår' (Klostergården–Stångby) is in early consultation."
hogdalsdepan;Högdalsdepån, utbyggnad;Högdalsdepån;metro;construction;2026;;;;Region Stockholm;Stockholm;;https://nyatunnelbanan.se/depa;;"Depot expansion plus a 2.5 km new tunnel to the Farsta branch; enabling works for the metro extensions rather than a passenger line."
karlstad-c-ombyggnad;Laxå–Arvika, Karlstad C;Karlstad C;rail;opened;2026;;;;Trafikverket;Karlstad;Karlstad C;https://www.trafikverket.se/vara-projekt/projekt-i-varmlands-lan/karlstad-c2/;;"New tracks, an island platform, the Trädgårdslänken footbridge and the Vikenpassagen tunnel. Byggstart February 2023, Vikenpassagen inaugurated 4 May 2026; Trafikverket's part is finished."
