kommun;year;value
0114;2015;2139.54197
0114;2016;2155.020391
0114;2017;2990.068378
0114;2018;10217.355027
0114;2019;14083.272774
0114;2020;17447.948457
0114;2021;17978.544542
0114;2022;20721.204986
0114;2023;24273.957294
0114;2024;52350.734257
0114;2025;51597.009605
0115;2015;12232.149475
0115;2016;11863.108129
0115;2017;15660.37679
0115;2018;16835.397224
0115;2019;21793.781167
0115;2020;15618.746153
0115;2021;13823.83344
0115;2022;11807.666925
0115;2023;9287.033869
0115;2024;6784.760386
0115;2025;3625.887277
0117;2015;1504.035129
0117;2016;2001.593791
0117;2017;2058.259687
0117;2018;1948.049341
0117;2019;1856.299645
0117;2020;1474.980705
0117;2021;2356.470539
0117;2022;7521.286988
0117;2023;5534.840307
0117;2024;7823.52823
0117;2025;13093.086118
0120;2015;49105.383511
0120;2016;48942.97619
0120;2017;55480.388546
0120;2018;60514.787035
0120;2019;68618.0
0120;2020;68862.309617
0120;2021;66499.307839
0120;2022;66399.444648
0120;2023;70811.158522
0120;2024;73477.88142
0120;2025;74611.875282
0123;2015;17691.80853
0123;2016;21781.621244
0123;2017;26981.570377
0123;2018;29477.344546
0123;2019;33080.510064
0123;2020;40846.223885
0123;2021;41821.906938
0123;2022;42484.086122
0123;2023;57004.992471
0123;2024;61802.945475
0123;2025;61381.559104
0125;2015;5580.455084
0125;2016;7317.375757
0125;2017;9179.944511
0125;2018;8649.215769
0125;2019;8488.915999
0125;2020;8750.78777
0125;2021;6270.965081
0125;2022;12619.407341
0125;2023;19679.082199
0125;2024;34801.418194
0125;2025;59196.338862
0126;2015;36543.381033
0126;2016;35361.60241
0126;2017;34823.604811
0126;2018;28722.104867
0126;2019;37574.347795
0126;2020;33246.162813
0126;2021;37551.1053
0126;2022;38032.749948
0126;2023;36854.064256
0126;2024;49012.116811
0126;2025;60137.27046
0127;2015;18513.301649
0127;2016;20537.292528
0127;2017;31918.455262
0127;2018;38890.436707
0127;2019;33570.862313
0127;2020;36415.532384
0127;2021;59434.713276
0127;2022;65306.8681
0127;2023;66850.94987
0127;2024;68114.029508
0127;2025;73991.49354
0128;2015;13706.501887
0128;2016;14432.560939
0128;2017;20552.115212
