kommun;year;value
0114;2015;21.943501
0114;2016;26.107212
0114;2017;28.028134
0114;2018;24.933604
0114;2019;27.557761
0114;2021;32.344489
0114;2022;32.879333
0114;2023;29.697957
0114;2024;22.091777
0114;2025;23.576622
0115;2015;24.112049
0115;2016;25.029253
0115;2017;8.817188
0115;2018;9.612252
0115;2019;12.398103
0115;2021;27.19488
0115;2022;30.902552
0115;2023;37.298519
0115;2024;38.839005
0115;2025;44.049654
0117;2015;18.542397
0117;2016;21.268092
0117;2017;27.731461
0117;2018;23.161257
0117;2019;26.274212
0117;2021;29.652488
0117;2022;27.280032
0117;2023;32.947702
0117;2024;32.207041
0117;2025;31.674232
0120;2015;12.35384
0120;2016;16.204481
0120;2017;16.172085
0120;2018;14.899549
0120;2019;14.816341
0120;2021;21.818812
0120;2022;24.904589
0120;2023;24.664537
0120;2024;24.457788
0120;2025;25.769369
0123;2015;13.402114
0123;2016;19.625607
0123;2017;20.23277
0123;2018;20.337135
0123;2019;21.977733
0123;2021;22.074881
0123;2022;24.537681
0123;2023;19.602363
0123;2024;19.064167
0123;2025;21.125989
0125;2015;2.600527
0125;2016;10.439686
0125;2017;12.167623
0125;2018;13.274826
0125;2019;14.626843
0125;2021;24.482046
0125;2022;26.157603
0125;2023;22.829161
0125;2024;14.960298
0125;2025;14.388832
0126;2015;21.256191
0126;2016;22.240981
0126;2017;25.431483
0126;2018;24.701706
0126;2019;25.22264
0126;2021;30.17383
0126;2022;33.104065
0126;2023;33.003859
0126;2024;32.343603
0126;2025;32.20779
0127;2015;30.50462
0127;2016;32.956509
0127;2017;30.372355
0127;2018;28.696941
0127;2019;28.130983
0127;2021;29.934827
0127;2022;30.852494
0127;2023;30.940538
0127;2024;30.628953
0127;2025;31.810581
0128;2015;28.200826
0128;2016;29.977731
0128;2017;30.854401
0128;2018;31.080633
0128;2019;34.098617
0128;2021;36.005612
0128;2022;34.144921
0128;2023;31.068086
0128;2024;31.860138
0128;2025;35.591608
0136;2015;-1.533072
0136;2016;2.673238
0136;2017;7.522498
0136;2018;10.104953
0136;2019;10.437363
0136;2021;32.145261
0136;2022;38.746341
0136;2023;39.293367
0136;2024;30.734669
0136;2025;30.230866
0138;2015;4.586082
0138;2016;6.431723
0138;2017;10.525612
0138;2018;9.488323
0138;2019;11.448341
0138;2021;23.180587
0138;2022;26.461045
0138;2023;26.551383
0138;2024;22.849795
0138;2025;23.089315
0139;2015;9.508747
0139;2016;12.584354
0139;2017;17.826762
0139;2018;22.722773
0139;2019;24.90459
0139;2021;32.852089
0139;2022;36.843806
0139;2023;35.918798
0139;2024;31.800168
0139;2025;28.562584
0140;2015;37.638408
0140;2016;36.867044
0140;2017;36.556869
0140;2018;34.346653
0140;2019;34.170193
0140;2021;29.793153
0140;2022;30.690877
0140;2023;27.18461
0140;2024;25.567635
0140;2025;24.474294
0160;2015;26.679155
0160;2016;27.527488
0160;2017;28.268705
0160;2018;14.625233
0160;2019;18.403739
0160;2021;37.486902
0160;2022;39.387599
0160;2023;41.993805
0160;2024;42.186951
0160;2025;46.75537
0162;2015;32.938665
0162;2016;37.859129
0162;2017;33.955157
0162;2018;30.328264
0162;2019;27.548322
0162;2021;40.164934
0162;2022;44.588253
0162;2023;42.685625
0162;2024;41.729447
0162;2025;42.25366
0163;2015;53.987344
0163;2016;55.246692
0163;2017;53.458774
0163;2018;53.374842
0163;2019;48.277801
0163;2021;46.560924
0163;2022;45.018384
0163;2023;48.424739
0163;2024;46.933388
0163;2025;50.819392
0180;2015;33.69963
0180;2016;36.084039
0180;2017;35.88912
0180;2018;35.332846
0180;2019;34.735253
0180;2021;35.148724
0180;2022;36.144382
0180;2023;35.713696
0180;2024;33.636465
0180;2025;34.8057
0181;2015;8.846841
0181;2016;13.292524
0181;2017;16.925614
0181;2018;18.790177
0181;2019;18.661994
0181;2021;24.051881
0181;2022;25.12575
0181;2023;26.108137
0181;2024;20.90972
0181;2025;20.300159
0182;2015;15.846335
0182;2016;18.618
0182;2017;25.996096
0182;2018;24.286226
0182;2019;26.83432
0182;2021;37.417366
0182;2022;40.098989
0182;2023;39.934291
0182;2024;32.361382
0182;2025;33.330064
0183;2015;45.596267
0183;2016;47.443031
0183;2017;53.462378
0183;2018;54.394929
0183;2019;52.848918
0183;2021;47.518679
0183;2022;38.391433
0183;2023;38.74439
0183;2024;38.973041
0183;2025;40.072684
0184;2015;47.370325
0184;2016;46.902104
0184;2017;39.621692
0184;2018;33.744096
0184;2019;38.338345
0184;2021;52.583133
0184;2022;53.634903
0184;2023;59.163144
0184;2024;58.959535
0184;2025;59.600728
0186;2015;42.231155
0186;2016;44.995829
0186;2017;48.876332
0186;2018;45.390978
0186;2019;71.619767
0186;2021;71.872436
0186;2022;69.857239
0186;2023;74.4854
0186;2024;74.956121
0186;2025;76.293863
0187;2015;11.679457
0187;2016;13.83686
0187;2017;17.22168
0187;2018;19.717627
0187;2019;20.041868
0187;2021;37.667866
0187;2022;52.961319
0187;2023;54.384717
0187;2024;53.638672
0187;2025;54.276287
0188;2015;6.333235
0188;2016;8.680315
0188;2017;14.808045
0188;2018;16.015635
0188;2019;14.929184
0188;2021;23.375997
0188;2022;27.432644
0188;2023;35.820889
0188;2024;26.710247
0188;2025;27.353494
0191;2015;0.58585
0191;2016;2.092841
0191;2017;2.755382
0191;2018;3.317386
0191;2019;4.555037
0191;2021;19.37662
0191;2022;24.29679
0191;2023;30.408768
0191;2024;25.053213
0191;2025;29.713765
0192;2015;6.039465
0192;2016;8.268267
0192;2017;8.964349
0192;2018;11.118365
0192;2019;12.65591
0192;2021;18.080738
0192;2022;23.115713
0192;2023;22.552668
0192;2024;22.399878
0192;2025;24.680626
0305;2015;-1.072579
0305;2016;4.259677
0305;2017;13.194661
0305;2018;15.425686
0305;2019;17.6155
0305;2021;25.113521
0305;2022;23.607571
0305;2023;17.754604
0305;2024;15.273624
0305;2025;16.844304
0319;2015;-21.912115
0319;2016;-12.657818
0319;2017;-4.486947
0319;2018;-1.882901
0319;2019;-2.243835
0319;2021;3.789315
0319;2022;8.714839
0319;2023;6.838926
0319;2024;8.862125
0319;2025;12.227867
0330;2015;32.95204
0330;2016;34.4575
0330;2017;35.594658
0330;2018;32.646239
0330;2019;41.707751
0330;2021;49.081013
0330;2022;31.437309
0330;2023;22.818442
0330;2024;22.539479
0330;2025;24.332946
0331;2015;-20.976525
0331;2016;-14.106388
0331;2017;-10.600144
0331;2018;-11.15412
0331;2019;-9.539804
0331;2021;7.054993
0331;2022;13.142849
0331;2023;12.697081
0331;2024;33.674548
0331;2025;15.52305
0360;2015;-5.221252
0360;2016;1.08045
0360;2017;2.818904
0360;2018;2.336327
0360;2019;15.845627
0360;2021;17.282662
0360;2022;19.722133
0360;2023;11.093432
0360;2024;10.517707
0360;2025;12.243499
0380;2015;16.953489
0380;2016;18.054326
0380;2017;19.927057
0380;2018;20.342702
0380;2019;20.186033
0380;2021;25.71124
0380;2022;26.602493
0380;2023;26.820493
0380;2024;26.916523
0380;2025;24.019421
0381;2015;27.284882
0381;2016;28.267979
0381;2017;27.133946
0381;2018;27.644458
0381;2019;26.014404
0381;2021;28.178251
0381;2022;29.435002
0381;2023;28.995196
0381;2024;24.723556
0381;2025;23.113073
0382;2015;10.36227
0382;2016;15.720001
0382;2017;17.764865
0382;2018;18.764693
0382;2019;19.360305
0382;2021;24.97458
0382;2022;26.937758
0382;2023;30.081317
0382;2024;26.979825
0382;2025;29.652896
0428;2015;-24.769281
0428;2016;-9.283793
0428;2017;-7.458451
0428;2018;-19.463452
0428;2019;-12.918633
0428;2021;0.972045
0428;2022;8.184616
0428;2023;0.2632
0428;2024;-10.392584
0428;2025;-5.511707
0461;2015;29.475923
0461;2016;26.396315
0461;2017;29.160638
0461;2018;28.548471
0461;2019;25.612091
0461;2021;32.274239
0461;2022;32.946984
0461;2023;33.420783
0461;2024;34.952125
0461;2025;15.688505
0480;2015;7.116196
0480;2016;8.927017
0480;2017;10.381217
0480;2018;8.678866
0480;2019;10.325358
0480;2021;9.423936
0480;2022;13.187584
0480;2023;14.686632
0480;2024;14.226596
0480;2025;15.067657
0481;2015;-3.500777
0481;2016;2.325753
0481;2017;8.156467
0481;2018;8.605284
0481;2019;8.081292
0481;2021;9.608837
0481;2022;12.231835
0481;2023;11.095142
0481;2024;9.05419
0481;2025;10.421071
0482;2015;-36.765088
0482;2016;25.041735
0482;2017;23.168713
0482;2018;21.73821
0482;2019;21.710791
0482;2021;29.836108
0482;2022;30.582682
0482;2023;30.507112
0482;2024;20.09338
0482;2025;18.204208
0483;2015;6.652402
0483;2016;9.134489
0483;2017;12.981837
0483;2018;11.34502
0483;2019;16.77296
0483;2021;29.980618
0483;2022;16.004615
0483;2023;19.154944
0483;2024;18.952435
0483;2025;21.29915
0484;2015;5.039642
0484;2016;8.122465
0484;2017;11.438009
0484;2018;11.939394
0484;2019;12.818935
0484;2021;14.561576
0484;2022;16.241715
0484;2023;16.313818
0484;2024;15.541221
0484;2025;16.431277
0486;2015;-2.904498
0486;2016;-0.107143
0486;2017;2.246154
0486;2018;3.732822
0486;2019;6.069015
0486;2021;17.289356
0486;2022;20.692463
0486;2023;23.296646
0486;2024;27.935186
0486;2025;27.817741
0488;2015;15.743644
0488;2016;18.563885
0488;2017;21.260853
0488;2018;23.192296
0488;2019;24.458584
0488;2021;25.435391
0488;2022;26.087397
0488;2023;23.626399
0488;2024;21.260156
0488;2025;22.186408
0509;2015;-2.933074
0509;2016;0.123634
0509;2017;5.375591
0509;2018;8.480294
0509;2019;10.915921
0509;2021;21.61441
0509;2022;25.86125
0509;2023;29.115013
0509;2024;30.438331
0509;2025;29.404871
0512;2015;3.087511
0512;2016;8.225656
0512;2017;12.049456
0512;2018;13.135473
0512;2019;14.552333
0512;2021;24.130207
0512;2022;28.777058
0512;2023;29.539503
0512;2024;28.945798
0512;2025;32.120011
0513;2015;16.284814
0513;2016;21.659128
0513;2017;25.104111
0513;2018;25.745388
0513;2019;23.575039
0513;2021;31.60565
0513;2022;37.259104
0513;2023;33.758022
0513;2024;29.998038
0513;2025;26.524175
0560;2015;-17.083743
0560;2016;-10.562038
0560;2017;-6.992058
0560;2018;-7.571944
0560;2019;-16.148245
0560;2021;-3.794547
0560;2022;-3.746612
0560;2023;-5.421128
0560;2024;-12.40917
0560;2025;-11.323326
0561;2015;-29.585252
0561;2016;-18.807352
0561;2017;-12.876845
0561;2018;-5.577099
0561;2019;-1.687652
0561;2021;12.443678
0561;2022;18.230569
0561;2023;20.646856
0561;2024;20.79437
0561;2025;27.149105
0562;2015;-1.843211
0562;2016;2.380208
0562;2017;3.726281
0562;2018;7.018078
0562;2019;7.602754
0562;2021;11.709576
0562;2022;13.68076
0562;2023;12.184407
0562;2024;11.501148
0562;2025;14.315773
0563;2015;-9.630762
0563;2016;-1.035903
0563;2017;1.175808
0563;2018;1.833267
0563;2019;-0.366677
0563;2021;8.218338
0563;2022;12.147952
0563;2023;8.578172
0563;2024;4.220427
0563;2025;7.570036
0580;2015;61.962593
0580;2016;61.820316
0580;2017;61.621393
0580;2018;62.270709
0580;2019;62.785622
0580;2021;65.338766
0580;2022;60.816968
0580;2023;62.521382
0580;2024;36.092392
0580;2025;35.717393
0581;2015;22.667067
