kommun;year;value
0114;2015;-47603.947399
0114;2016;-47292.155567
0114;2017;-49159.062885
0114;2018;-51056.452144
0114;2019;-50488.244347
0114;2020;-51820.786707
0114;2021;-54958.490171
0114;2022;-57804.210142
0114;2023;-62284.893235
0114;2024;-65583.72911
0114;2025;-65821.50708
0115;2015;-46170.938851
0115;2016;-48584.505109
0115;2017;-63209.886963
0115;2018;-51651.501555
0115;2019;-52162.569669
0115;2020;-53015.76834
0115;2021;-53044.005139
0115;2022;-52789.475194
0115;2023;-53953.700536
0115;2024;-59151.5419
0115;2025;-59863.012924
0117;2015;-45149.062426
0117;2016;-46156.999977
0117;2017;-45525.266259
0117;2018;-48434.72151
0117;2019;-48633.431342
0117;2020;-45606.616071
0117;2021;-48790.873658
0117;2022;-51362.387562
0117;2023;-53757.071547
0117;2024;-56464.056882
0117;2025;-56048.81565
0120;2015;-46304.692631
0120;2016;-47092.214286
0120;2017;-48783.560446
0120;2018;-51911.863414
0120;2019;-51170.955556
0120;2020;-50525.238116
0120;2021;-52003.482436
0120;2022;-55134.855888
0120;2023;-58303.257071
0120;2024;-60423.866195
0120;2025;-62062.101672
0123;2015;-43785.34841
0123;2016;-43758.829221
0123;2017;-47740.154082
0123;2018;-49236.748216
0123;2019;-48324.028004
0123;2020;-51116.605557
0123;2021;-49860.466514
0123;2022;-53206.541072
0123;2023;-58026.236534
0123;2024;-59758.26869
0123;2025;-59864.97006
0125;2015;-49455.232731
0125;2016;-50775.158724
0125;2017;-54520.087918
0125;2018;-55503.921153
0125;2019;-58310.108052
0125;2020;-58406.904671
0125;2021;-61328.94556
0125;2022;-63440.133228
0125;2023;-68796.133019
0125;2024;-71549.360083
0125;2025;-69531.759686
0126;2015;-47747.851601
0126;2016;-49888.922985
0126;2017;-49778.824214
0126;2018;-51914.045577
0126;2019;-53196.07791
0126;2020;-53046.894042
0126;2021;-54765.223649
0126;2022;-56041.5444
0126;2023;-61462.175211
0126;2024;-64446.467315
0126;2025;-66125.909004
0127;2015;-50667.330165
0127;2016;-49722.966639
0127;2017;-52560.065271
0127;2018;-55151.741026
0127;2019;-56892.543813
0127;2020;-57917.688488
0127;2021;-57935.468642
0127;2022;-60099.021838
0127;2023;-65703.050464
0127;2024;-67624.638966
0127;2025;-65613.612403
0128;2015;-48212.833313
0128;2016;-50427.746013
0128;2017;-52472.667267
0128;2018;-55317.705231
0128;2019;-57870.029851
0128;2020;-56541.60033
0128;2021;-59763.157895
0128;2022;-62171.104195
0128;2023;-64624.376827
0128;2024;-66876.9635
0128;2025;-66954.001151
0136;2015;-45904.132783
0136;2016;-47313.526192
0136;2017;-48814.407579
0136;2018;-50227.705608
0136;2019;-52514.110429
0136;2020;-52518.603907
0136;2021;-51408.287859
0136;2022;-54659.449444
0136;2023;-61382.84328
0136;2024;-64829.307696
0136;2025;-59097.625434
0138;2015;-47449.855989
0138;2016;-49264.335605
0138;2017;-51200.215627
0138;2018;-53810.224148
0138;2019;-54447.478948
0138;2020;-54361.169317
0138;2021;-55998.777058
0138;2022;-59324.237006
0138;2023;-63016.736827
0138;2024;-66755.505399
0138;2025;-67078.799476
0139;2015;-47490.015123
0139;2016;-48141.842646
0139;2017;-50186.390961
0139;2018;-48529.69815
0139;2019;-53622.129081
0139;2020;-53168.372247
