kommun;year;value
0114;2015;19.5
0114;2016;19.52
0114;2017;19.52
0114;2018;19.52
0114;2019;19.42
0114;2020;19.42
0114;2021;19.42
0114;2022;19.42
0114;2023;19.42
0114;2024;19.42
0114;2025;19.42
0114;2026;19.42
0115;2015;18.98
0115;2016;19.0
0115;2017;19.0
0115;2018;19.0
0115;2019;19.0
0115;2020;19.0
0115;2021;19.0
0115;2022;18.9
0115;2023;18.9
0115;2024;18.9
0115;2025;18.9
0115;2026;18.9
0117;2015;18.65
0117;2016;18.17
0117;2017;17.75
0117;2018;17.35
0117;2019;17.1
0117;2020;17.1
0117;2021;17.0
0117;2022;16.9
0117;2023;16.9
0117;2024;16.6
0117;2025;16.6
0117;2026;16.6
0120;2015;19.91
0120;2016;19.88
0120;2017;19.18
0120;2018;19.18
0120;2019;19.18
0120;2020;19.18
0120;2021;19.18
0120;2022;18.98
0120;2023;18.98
0120;2024;18.98
0120;2025;18.98
0120;2026;18.98
0123;2015;18.98
0123;2016;19.15
0123;2017;19.15
0123;2018;19.15
0123;2019;19.15
0123;2020;19.15
0123;2021;19.15
0123;2022;18.99
0123;2023;18.99
0123;2024;19.24
0123;2025;19.24
0123;2026;19.19
0125;2015;19.23
0125;2016;19.25
0125;2017;19.25
0125;2018;19.25
0125;2019;19.25
0125;2020;19.25
0125;2021;19.25
0125;2022;18.95
0125;2023;18.95
0125;2024;19.22
0125;2025;19.22
0125;2026;19.12
0126;2015;19.85
0126;2016;19.87
0126;2017;19.87
0126;2018;19.87
0126;2019;19.87
0126;2020;19.87
0126;2021;19.77
0126;2022;19.47
0126;2023;19.47
0126;2024;19.47
0126;2025;19.47
0126;2026;19.38
0127;2015;20.13
0127;2016;20.15
0127;2017;20.15
0127;2018;20.15
0127;2019;20.15
0127;2020;20.15
0127;2021;20.15
0127;2022;20.15
0127;2023;20.15
0127;2024;20.15
0127;2025;20.05
0127;2026;19.9
0128;2015;19.9
0128;2016;19.67
0128;2017;19.67
0128;2018;19.67
0128;2019;19.67
0128;2020;19.67
0128;2021;19.67
0128;2022;19.42
0128;2023;19.42
0128;2024;19.67
0128;2025;19.67
0128;2026;19.67
0136;2015;19.78
0136;2016;19.68
0136;2017;19.68
0136;2018;19.68
0136;2019;19.68
0136;2020;19.68
0136;2021;19.68
0136;2022;19.68
0136;2023;19.68
0136;2024;19.68
0136;2025;19.45
0136;2026;18.95
0138;2015;19.48
0138;2016;19.5
0138;2017;19.5
0138;2018;19.5
0138;2019;19.95
0138;2020;19.95
0138;2021;19.75
0138;2022;19.5
0138;2023;19.5
0138;2024;19.5
0138;2025;19.5
0138;2026;19.5
0139;2015;19.58
0139;2016;19.6
0139;2017;19.6
0139;2018;19.6
0139;2019;19.6
0139;2020;19.6
0139;2021;19.6
0139;2022;19.4
0139;2023;19.4
0139;2024;19.4
0139;2025;19.4
0139;2026;19.4
0140;2015;19.95
0140;2016;19.97
0140;2017;19.97
0140;2018;19.97
0140;2019;19.97
