code;level;class;share_pct;utsatt_pct;sarskilt_pct
0123C1290_DeSO2025;deso;utsatt;25.272;25.272;0
0126C1020_DeSO2025;deso;utsatt;16.808;16.808;0
0126C1030_DeSO2025;deso;utsatt;100.0;100.0;0
0126C1060_DeSO2025;deso;utsatt;100.0;100.0;0
0126C1070_DeSO2025;deso;utsatt;100.0;100.0;0
0126C1081_DeSO2025;deso;utsatt;2.074;2.074;0
0126C1082_DeSO2025;deso;utsatt;32.006;32.006;0
0126C1090_DeSO2025;deso;utsatt;36.35;36.35;0
0126C1100_DeSO2025;deso;utsatt;9.731;9.731;0
0126C1110_DeSO2025;deso;utsatt;100.0;100.0;0
0126C1130_DeSO2025;deso;utsatt;100.0;100.0;0
0126C1140_DeSO2025;deso;utsatt;99.985;99.985;0
0126C1160_DeSO2025;deso;utsatt;90.142;90.142;0
0126C1311_DeSO2025;deso;utsatt;0.799;0.799;0
0126C1370_DeSO2025;deso;utsatt;66.905;66.905;0
0126C1420_DeSO2025;deso;utsatt;9.342;9.205;0
0126C1490_DeSO2025;deso;sarskilt;53.677;52.656;1.021
0126C1510_DeSO2025;deso;utsatt;30.752;30.752;0
0126C1520_DeSO2025;deso;utsatt;100.0;100.0;0
0126C1540_DeSO2025;deso;utsatt;99.328;99.328;0
0126C1550_DeSO2025;deso;utsatt;100.0;100.0;0
0127A0020_DeSO2025;deso;sarskilt;3.628;0;3.628
0127C1080_DeSO2025;deso;utsatt;7.796;7.796;0
0127C1090_DeSO2025;deso;utsatt;58.841;58.841;0
0127C1270_DeSO2025;deso;sarskilt;18.152;0;18.152
0127C1280_DeSO2025;deso;sarskilt;62.809;0;62.809
0127C1290_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1300_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1310_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1320_DeSO2025;deso;sarskilt;70.01;0;70.01
0127C1330_DeSO2025;deso;sarskilt;85.648;0;85.648
0127C1340_DeSO2025;deso;sarskilt;99.994;0;99.994
0127C1351_DeSO2025;deso;sarskilt;99.419;0;99.419
0127C1352_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1360_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1370_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1380_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1390_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1400_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1410_DeSO2025;deso;sarskilt;58.129;0;58.129
0127C1420_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1431_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1432_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1440_DeSO2025;deso;sarskilt;100.0;0;100.0
0127C1450_DeSO2025;deso;sarskilt;23.861;0;23.861
0127C1460_DeSO2025;deso;sarskilt;22.409;0;22.409
0127C1470_DeSO2025;deso;sarskilt;59.013;0;59.013
0136C1090_DeSO2025;deso;utsatt;39.08;39.08;0
0136C1100_DeSO2025;deso;utsatt;43.25;43.25;0
0136C1120_DeSO2025;deso;utsatt;100.0;100.0;0
0136C1130_DeSO2025;deso;utsatt;100.0;100.0;0
0136C1140_DeSO2025;deso;utsatt;44.919;44.919;0
0136C1150_DeSO2025;deso;utsatt;8.564;8.564;0
0136C1180_DeSO2025;deso;utsatt;8.15;8.15;0
0136C1230_DeSO2025;deso;utsatt;16.16;16.16;0
0136C1240_DeSO2025;deso;utsatt;67.886;67.886;0
0136C1260_DeSO2025;deso;utsatt;100.0;100.0;0
0136C1270_DeSO2025;deso;utsatt;99.885;99.885;0
0136C1280_DeSO2025;deso;utsatt;100.0;100.0;0
