skolenhetskod;year;trygghet;studiero;respondents;response_rate
10023937;2026;8.6;6.3;60;1
10035236;2026;8.9;6.6;118;0.77100000000000002
10063280;2026;7.3;6.3;48;0.92300000000000004
10132939;2025;7.6;5.7;54;0.88500000000000001
10155751;2025;7.7;5.9;86;0.88700000000000001
10170655;2026;7.9;5.1;92;0.82899999999999996
10175276;2025;8.0;5.9;75;0.81499999999999995
10185533;2026;8.3;6.0;81;0.86199999999999999
10230535;2025;8.3;4.3;20;0.76900000000000002
10245367;2026;8.2;5.8;75;0.872
10257640;2025;7.0;4.3;93;0.81599999999999995
10360193;2026;8.8;4.8;12;0.92300000000000004
10405686;2026;7.8;5.6;129;0.80100000000000005
10419361;2026;8.1;5.4;52;0.8
10421130;2025;7.6;6.1;38;0.88400000000000001
10428442;2025;8.2;6.0;145;0.72899999999999998
10435966;2026;7.5;7.2;78;0.79600000000000004
10443922;2026;7.5;5.8;35;0.79500000000000004
10453232;2025;7.2;4.5;32;0.71099999999999997
10592650;2025;8.1;6.2;41;0.872
10609045;2025;8.0;5.8;75;0.78900000000000003
10617819;2026;8.0;5.6;76;0.623
10657244;2025;8.4;5.2;34;0.75600000000000001
10661388;2026;8.5;6.5;9;0.69199999999999995
10662754;2026;7.3;4.3;83;0.78300000000000003
10715898;2025;8.6;6.4;21;0.77800000000000002
10757780;2026;8.7;5.2;22;0.88
10822811;2025;8.0;5.4;140;0.85899999999999999
10902849;2025;8.6;6.7;30;0.96799999999999997
10954341;2025;8.6;6.1;81;0.84399999999999997
10979668;2026;8.3;5.1;15;0.78900000000000003
10982633;2026;8.1;5.3;61;0.84699999999999998
11018018;2026;8.2;5.4;39;0.75
11043800;2025;8.4;5.8;88;0.84599999999999997
11159060;2025;7.3;5.6;71;0.64
11181258;2026;7.9;5.2;14;0.93300000000000005
11193969;2025;7.9;5.3;49;0.60499999999999998
11295861;2026;7.8;6.0;33;0.78600000000000003
11340770;2025;7.9;5.2;83;0.76100000000000001
11364996;2026;8.3;5.5;44;0.81499999999999995
11366318;2025;7.8;5.5;29;0.90600000000000003
11406792;2026;7.0;4.9;108;0.80600000000000005
11442396;2026;7.7;6.2;16;0.84199999999999997
11465652;2026;8.4;6.0;29;0.80600000000000005
11476454;2026;7.9;6.0;16;0.72699999999999998
11496096;2025;7.5;5.5;51;0.79700000000000004
11546127;2026;7.2;5.4;32;0.61499999999999999
11588924;2025;8.9;5.8;23;0.69699999999999995
11662899;2026;7.7;4.7;59;0.81899999999999995
11664326;2026;7.8;4.9;44;0.56399999999999995
11777750;2026;8.0;5.7;104;0.79400000000000004
11782417;2025;8.3;5.6;64;0.84199999999999997
11814097;2026;8.6;6.4;59;0.72
11885832;2026;7.9;7.1;46;0.76700000000000002
11909268;2025;8.3;5.2;21;0.91300000000000003
11914814;2026;7.4;4.4;108;0.72499999999999998
11954492;2025;8.4;5.1;55;0.77500000000000002
12053461;2026;7.9;6.1;85;0.76600000000000001
12079022;2025;7.8;6.1;72;0.8
12092203;2025;7.7;7.0;12;0.75
12247315;2026;7.8;4.9;125;0.83299999999999996
12248380;2025;8.1;5.4;100;0.76300000000000001
12259212;2025;8.1;5.5;79;0.78200000000000003
12275851;2025;8.2;5.9;48;0.81399999999999995
12286029;2026;8.3;5.7;134;0.753
12289594;2026;8.0;5.6;40;0.83299999999999996
12332278;2025;7.2;4.8;168;0.84
12443258;2025;7.0;6.4;36;0.83699999999999997
12636945;2025;8.3;5.6;48;0.85699999999999998
12717350;2026;8.1;5.3;57;0.80300000000000005
12753670;2026;7.4;5.3;37;0.755
12753961;2025;8.4;6.7;76;0.76800000000000002
12757193;2025;6.9;4.9;38;0.76
12759583;2025;7.9;6.0;95;0.79200000000000004
12853184;2026;8.3;5.4;52;0.67500000000000004
13123046;2025;8.1;5.8;15;0.88200000000000001
13124830;2026;7.5;5.7;74;0.871
13175575;2026;8.4;5.0;64;0.77100000000000002
13184976;2025;6.9;4.8;98;0.71499999999999997
13299659;2025;8.6;5.1;27;0.84399999999999997
13301127;2026;8.2;6.3;121;0.81200000000000006
13342436;2025;8.4;5.4;6;0.85699999999999998
13384795;2025;7.9;5.5;145;0.90600000000000003
13390547;2025;8.8;6.3;30;0.96799999999999997
13490988;2026;7.8;5.8;49;0.83099999999999996
13493243;2026;8.4;7.0;165;0.89700000000000002
13578112;2025;8.1;6.0;115;0.68
13579948;2025;7.5;5.7;114;0.77
13582062;2026;8.4;5.1;63;0.80800000000000005
13654969;2026;8.5;6.4;46;0.83599999999999997
13666864;2025;7.9;5.3;73;0.624
13679897;2026;8.2;6.3;98;0.88300000000000001
13746989;2025;7.9;6.0;6;1
13756290;2025;8.1;5.4;122;0.80300000000000005
13802549;2025;8.4;4.9;80;0.83299999999999996
13854755;2026;8.3;6.5;59;0.79700000000000004
